"Source:","C:\Users\matt\Other-Repos\tillitis-key1\hw\boards\mta1-usb-v1-programmer\mta1-usb-v1-programmer.kicad_sch"
"Date:","11/14/2022 1:40:21 PM"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_extended_value.py"
"Component Count:","24"
"Ref","Qnty","Value","Footprint","Description","Manufacturer","Manufacturer Part Number","Supplier","Supplier Part Number"
"F1","1","50mA, nSMD005","Fuse:Fuse_1206_3216Metric","Resettable fuse, polymeric positive temperature coefficient, small symbol","RUILON","SMD1206P005TF","lcsc","C20797"
"J1,J2","2","Conn_01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)","","","",""
"Q1","1","WST3400A","Package_TO_SOT_SMD:SOT-23","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","winsok","WST3400A","lcsc","C2758406"
"Q2","1","JMTL3401A,1%,1/16W","Package_TO_SOT_SMD:SOT-23","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","jjm","JMTL3401A","lcsc","C394037"
"R1,R2,R3,R4,R5,R6,R9,R10,R11,R12,R13,R14,R15,R16,R17","15","R100","mta1:ERJ2G(0402)_L","Resistor","yageo","AF0402FR-07100RL","Digikey","13-AF0402FR-07100RLTR-ND"
"R7,R8","2","10K,1%,1/16W","mta1:ERJ2G(0402)_L","Resistor","yageo","AT0402FRE0710KL","Digikey","YAG2104TR-ND"
"U1","1","mta1_usb_ch554_pogo","mta1-usb:mta1_usb_ch554_pogo","","blinkinlabs","","",""
"U2","1","Pico","RPi_Pico:RPi_Pico_SMD_TH","","Raspberry Pi","SC0915","Digikey","2648-SC0915TR-ND"
